Total Margin (bin),Hospital,Total Margin
0.05,Jewell County Hospital,0.055
0.00,Cheyenne County Hospital,0.035
0.10,Rooks County Health Center,0.108
0.00,Comanche County Hospital,0.012
0.05,Kearny County Hospital,0.079
0.00,F W Huston Medical Center,0.031
0.05,Nemaha Valley Community Hospital,0.065
-0.05,Anderson County Hospital,-0.023
0.05,Edwards County Medical Center,0.099
0.00,Sedan City Hospital,0.036
0.00,Holton Community Hospital,0.031
-0.10,Horton Community Hospital,-0.073
-0.10,Meade District Hospital,-0.066
-0.10,Hamilton County Hospital,-0.073
0.00,Stafford County Hospital,0.001
0.00,Satanta District Hospital,0.032
0.10,Graham County Hospital,0.147
-0.05,Logan County Hospital,-0.008
0.00,Ellsworth County Medical Center,0
0.15,Ottawa County Health Center,0.151
0.00,Caldwell Regional Medical Center,0.048
0.10,Hospital District #1 of Rice County,0.101
-0.05,Kiowa District Hospital,-0.018
-0.15,Kiowa County Memorial Hospital,-0.105
0.05,Clara Barton Hospital,0.075
0.00,Medicine Lodge Memorial Hospital,0.044
-0.10,Stevens County Hospital,-0.095
0.10,Ness County Hospital District #2,0.135
0.15,Wamego Health Center,0.167
0.00,Sabetha Community Hospital,0.026
0.15,Greenwood County Hospital,0.152
0.00,Herington Hospital,0
0.05,Amberwell Hiawatha,0.059
-0.20,Rush County Memorial Hospital,-0.181
-0.10,Stanton County Hospital,-0.086
0.00,Wilson Medical Center,0.017
0.10,Pawnee Valley Community Hospital,0.107
-0.10,Patterson Health Center,-0.076
0.05,Sheridan County Hospital,0.055
-0.10,Norton County Hospital,-0.055
0.05,North Central Kansas Medical Center,0.096
0.00,Russell Regional Hospital,0.048
0.10,Washington County Hospital,0.139
0.05,Decatur Health,0.055
0.00,Phillips County Health Systems,0.037
0.05,"Community Hospital, Onaga and St Marys Campus",0.078
0.00,Trego County Lemke Memorial Hospital,0.049
0.15,St Luke Hospital & Living Center,0.198
-0.20,Hillsboro Community Hospital,-0.177
0.00,Lindsborg Community Hospital,0.038
0.15,Greeley County Health Services,0.159
0.00,Lincoln County Hospital,0.03
0.05,Republic County Hospital,0.091
0.05,Citizens Medical Center,0.077
0.05,"Community Memorial Healthcare, Inc",0.053
0.10,Osborne County Memorial Hospital,0.123
0.15,Hanover Hospital,0.161
-0.05,Gove County Medical Center,-0.028
-0.05,Minneola District Hospital Nbr 2,-0.022
-0.05,Hodgeman County Health Center,-0.038
0.05,Goodland Regional Medical Center,0.071
0.10,Clay County Medical Center,0.124
0.05,Scott County Hospital,0.077
-0.10,Allen County Regional Hospital,-0.064
0.05,Fredonia Regional Hospital,0.064
0.05,Mitchell County Hospital Health Systems,0.073
0.00,Girard Medical Center,0.017
-0.05,Smith County Memorial Hospital,-0.047
0.00,Kingman Healthcare  Center,0.027
0.00,Morris County Hospital,0.047
0.00,Neosho Memorial Regional Medical Center,0.03
0.10,Memorial Hospital,0.13
0.05,Amberwell Atchison Association,0.054
-0.05,William Newton Hospital,-0.012
0.00,Newman Regional Health,0.019
0.00,Coffey County Hospital,0.039
0.20,Whitesburg ARH Hospital,0.238
-0.05,Owensboro Health Muhlenberg Community Hospital,-0.008
0.00,Highlands ARH Regional Medical Center,0.006
0.05,CHI Saint Joseph London,0.059
-0.05,UofL Health - Shelbyville Hospital,-0.022
0.00,T J Samson Community Hospital,0.046
0.05,St Claire Regional Medical Center,0.054
0.10,Meadowview Regional Medical Center,0.14
0.10,Middlesboro Appalachian Regional Healthcare Hospit,0.113
0.05,Spring View Hospital,0.095
0.10,Flaget Memorial Hospital,0.138
0.05,Murray-Calloway County Hospital,0.078
0.10,Hazard ARH Regional Medical Center,0.101
-0.10,AdventHealth Manchester,-0.063
0.00,Pikeville Medical Center,0.006
0.15,Bourbon Community Hospital,0.191
0.05,Ephraim McDowell Regional Medical Center,0.063
-0.05,Baptist Health Richmond,-0.01
0.20,Harlan ARH Hospital,0.204
0.05,Jennie Stuart Medical Center,0.062
-0.05,CHI Saint Joseph Mount Sterling,-0.028
-0.05,Logan Memorial Hospital,-0.027
-0.05,Tug Valley ARH Regional Medical Center,-0.027
0.10,Owensboro Health Twin Lakes Medical Center,0.139
0.00,Paintsville ARH Hospital,0.007
0.00,Harrison Memorial Hospital,0.025
0.10,Baptist Health Corbin,0.114
-0.05,Taylor Regional Hospital,-0.009
0.20,Clark Regional Medical Center,0.201
-0.15,Baptist Health Deaconess Madisonville,-0.117
0.00,Crittenden Community Hospital,0.045
0.20,Georgetown Community Hospital,0.202
0.15,Mercy Health Lourdes Hospital,0.171
0.05,Baptist Health Paducah,0.065
0.00,Monroe County Medical Center,0.013
-0.05,The Medical Center at Albany,-0.041
0.05,Rockcastle Regional Hospital & Respiratory Care Ct,0.06
0.10,Jackson Purchase Medical Center,0.128
-0.30,Parkway Regional Hospital,-0.262
0.25,Frankfort Regional Medical Center,0.282
0.15,Three Rivers Medical Center,0.192
0.10,Lake Cumberland Regional Hospital,0.121
0.00,Kentucky River Medical Center,0.003
0.20,T J Health Columbia,0.238
-0.25,"Pineville Community Health Center, Inc",-0.221
-0.05,Marcum & Wallace Memorial Hospital,-0.013
0.05,The James B Haggin Memorial Hospital,0.072
-0.10,Nicholas County Hospital,-0.067
0.05,Trigg County Hospital,0.096
-0.15,ARH Our Lady of the Way,-0.15
0.00,Deaconess Union County Hospital,0.048
0.10,Morgan County ARH Hospital,0.109
0.00,Bluegrass Community Hospital,0.007
0.30,Casey County Hospital,0.334
0.00,Carroll County Memorial Hospital,0.024
0.20,St Elizabeth Grant,0.207
-0.05,St Elizabeth Owen,-0.037
0.05,The Medical Center at Caverna,0.056
0.20,Ephraim McDowell Fort Logan Hospital,0.213
0.20,Mary Breckinridge ARH Hospital,0.224
-0.05,Cumberland County Hospital,-0.014
0.20,The Medical Center at Franklin,0.209
0.05,Breckinridge Memorial Hospital,0.07
0.05,"Livingston Hospital and Healthcare Services, Inc",0.05
0.00,Wayne County Hospital,0.038
0.00,Caldwell Medical Center,0.015
0.05,Ohio County Hospital,0.058
0.00,The Medical Center at Scottsville,0.02
0.80,Jane Todd Crawford Hospital,0.823
-0.05,Marshall County Hospital,-0.031
0.05,Barbourville ARH Hospital,0.08
0.05,CHI Saint Joseph Berea Nf,0.074
0.00,Russell County Hospital,0.016
0.05,McDowell ARH Hospital,0.074
0.05,Fleming County Hospital,0.07
0.00,Natchitoches Regional Medical Center,0.03
-0.05,Ochsner St Mary,-0.042
0.00,Opelousas General Health System,0.011
0.00,Savoy Medical Center,0.046
-0.05,Ochsner Acadia General Hospital,-0.017
0.00,Beauregard Memorial Hospital,0.047
0.10,Ochsner American Legion Hospital,0.108
0.10,West Carroll Memorial Hospital,0.142
-0.15,Northern Louisiana Medical Center,-0.126
0.00,Springhill Medical Center,0.024
-0.05,Winn Parish Medical Center,-0.049
0.00,Avoyelles Hospital,0.013
-0.05,Oakdale Community Hospital,-0.003
0.05,Claiborne Memorial Medical Center,0.085
0.05,Morehouse General Hospital,0.099
0.05,Desoto Regional Health System,0.063
0.00,Allen Parish Hospital,0.042
0.05,Franklin Medical Center,0.056
-0.10,Minden Medical Center,-0.064
0.05,Lasalle General Hospital,0.072
0.05,Richardson Medical Center,0.084
0.10,Byrd Regional Hospital,0.138
-0.10,Mercy Regional Medical Center,-0.088
0.00,Citizens Medical Center,0.002
0.10,"Caldwell Memorial Hospital, Inc",0.11
0.20,East Carroll Parish Hospital,0.208
0.00,Sabine Medical Center,0.003
-0.10,Doctors Hospital at Deer Creek L L C,-0.055
0.00,South Cameron Memorial Hospital,0.011
0.15,Our Lady of the Angels Hospital,0.173
-0.10,Acadian Medical Center,-0.054
0.15,St Helena Parish Hospital,0.188
0.15,Union General Hospital,0.184
0.10,Ochsner St Martin Hospital,0.125
0.20,North Caddo Medical Center,0.215
0.10,St James Parish Hospital,0.147
0.10,West Feliciana Parish Hospital,0.101
0.00,Dequincy Memorial Hospital,0.002
0.20,Prevost Memorial Hospital,0.23
0.45,Hood Memorial Hospital,0.475
0.15,Bayou Bend Health System,0.193
0.15,Bunkie General Hospital,0.199
0.00,Christus Coushatta Health Care Center,0.042
0.00,Riverside Medical Center,0.029
0.10,Madison Parish Hospital,0.137
0.05,Hardtner Medical Center,0.073
0.15,Pointe Coupee General Hospital,0.182
0.20,Jackson Parish Hospital,0.229
0.05,Trinity Medical,0.072
0.10,Acadia St Landry,0.138
-0.20,Bienville Medical Center,-0.151
-0.40,Lallie Kemp Medical Center,-0.359
0.10,Ochsner Abrom Kaplan Memorial Hospital,0.102
0.20,Richland Parish Hospital-Delhi,0.248
0.10,Ochsner St Anne General Hospital,0.102
0.15,Lady of the Sea General Hospital,0.174
0.05,Reeves Memorial Medical Center,0.08
-0.05,Northern Light A R Gould Hospital,-0.022
-0.10,Mid Coast Hospital,-0.066
-0.05,Parkview Adventist Medical Center,-0.05
0.00,Cary Medical Center,0.022
-0.05,Franklin Memorial Hospital,-0.006
0.00,MaineGeneral Medical Center,0.007
0.00,Henrietta D Goodall Hospital,0.012
-0.05,Northern Light Inland Hospital,-0.047
0.00,Northern Light Maine Coast Hospital,0.001
0.00,Northern Maine Medical Center,0.041
0.00,Penobscot Bay Medical Center,0.008
0.10,Northern Light Blue Hill Memorial Hospital,0.131
0.10,Charles A Dean Memorial Hospital,0.123
0.10,Lincoln Health,0.118
0.05,Penobscot Valley Hospital,0.08
0.05,Mount Desert Island Hospital,0.059
-0.05,Calais Community Hospital,-0.035
0.05,Rumford  Hospital,0.066
0.00,Millinocket Regional Hospital,0.039
0.05,Houlton Regional Hospital,0.056
0.00,Northern Light Mayo Hospital,0.04
0.05,Bridgton Hospital,0.095
0.10,Down East Community Hospital,0.108
0.00,Waldo County General Hospital,0.031
0.15,Northern Light Sebasticook Valley Hospital,0.183
0.05,Redington Fairview General Hospital,0.062
0.10,Stephens Memorial Hospital,0.118
0.00,Garrett Regional Medical Center,0.012
-0.10,UMD Shore Medical Ctr at Chestertown,-0.079
0.15,University of MD Shore Medical Center at Easton,0.168
-0.05,Edward McCready Memorial Hospital,-0.043
0.00,Atlantic General Hospital,0.003
-0.05,Baystate Franklin Medical Center,-0.028
0.05,North Adams Regional Hospital,0.065
0.30,Nantucket Cottage Hospital,0.317
0.10,Martha's Vineyard Hospital Inc,0.11
0.30,Fairview Hospital,0.328
-0.05,Athol Memorial Hospital,-0.009
-0.05,ProMedica Charles and Virginia Hickman Hospital,-0.009
0.05,Three Rivers Health,0.088
0.05,ProMedica Coldwater Regional Hospital,0.055
-0.05,MyMichigan Medical Center Alma,-0.028
0.10,Corewell Health United Hospital,0.137
0.15,MyMichigan Medical Center Alpena,0.173
-0.05,Hillsdale Hospital,-0.005
0.00,UP Health System - Marquette,0.043
0.00,Marshfield Medical Center,0.026
0.00,Munson Healthcare Grayling Hospital,0.032
-0.20,McLaren Central Michigan,-0.158
0.05,Munson Healthcare Cadillac Hospital,0.091
-0.10,Bronson South Haven Hospital,-0.065
0.10,Corwell Health Big Rapids Hospital,0.137
-0.05,MyMichigan Medical Center West Branch,-0.006
0.05,Munson Medical Center,0.084
-0.05,Ascension St Joseph Hospital,-0.026
0.05,McLaren Northern Michigan,0.056
0.00,UP Health System Portage,0.035
0.00,Corewell Health Ludington Hospital,0.048
-0.05,Memorial Healthcare,-0.008
0.05,Munson Healthcare Otsego Memorial Hospital,0.071
0.05,MyMichigan Medical Center Clare,0.06
0.05,McLaren Lapeer Region,0.063
-0.20,Sparrow Carson Hospital,-0.168
0.00,Oaklawn Hospital,0.006
0.00,MyMichigan Medical Center-Sault,0.037
0.00,Munson Healthcare Manistee Hospital,0.035
-0.30,Sturgis Hospital,-0.253
0.00,Paul Oliver Memorial Hospital,0.041
0.10,Kalkaska Memorial Health Center,0.106
0.00,Schoolcraft Memorial Hospital,0.037
0.10,Helen Newberry Joy Hospital,0.142
0.05,Ascension Standish Hospital,0.062
0.05,Mackinac Straits Hospital and Health Center,0.055
0.00,Baraga County Memorial Hospital,0.031
0.00,Munising Memorial Hospital,0.027
-0.10,"Aspirus Ontonagon Hospital, Inc",-0.061
0.00,Scheurer Hospital,0.025
0.10,Deckerville Community Hospital,0.132
0.00,Sheridan Community Hospital,0.009
0.05,Harbor Beach Community Hospital,0.066
0.10,McKenzie Health System,0.106
0.00,Ascension Borgess Lee Hospital,0.024
0.10,Hills & Dales General Hospital,0.111
0.05,Spectrum Health Kelsey Hospital,0.086
-0.05,"Aspirus Iron River Hospital & Clinics, Inc",-0.014
0.00,Aspirus Keweenaw Hospital,0.025
0.20,Trinity Health Shelby Hospital,0.212
0.10,Bell Hospital,0.13
0.10,Munson Healthcare Charlevoix Hospital,0.107
0.25,Corewell Health Reed City Hospital,0.285
0.05,Eaton Rapids Medical Center,0.07
0.10,MyMichigan Medical Center Gladwin,0.121
0.25,Sparrow Clinton Hospital,0.282
-0.10,Patient's Choice Medical Center of Humphreys,-0.073
0.00,Blowing Rock Hospital,0.011
-0.15,Vidant Pungo Hospital,-0.119
0.00,Tilden Community Hospital,0.027
0.00,Doctors Hospital of Nelsonville,0.033
-0.15,Mid-Valley Hospital,-0.148
-0.15,Good Shephard Medical Center-Linden,-0.118
0.00,Albany Area Hospital,0.011
-0.10,Pioneer Health Services of Newton,-0.078
-0.10,Yadkin Valley Community Hospital,-0.051
-0.15,Medical Center of Manchester,-0.109
-0.25,Hunt Regional Community Hospital,-0.217
-0.05,Southeast Health Center of Reynolds County,-0.003
-0.15,Our Community Hospital,-0.135
-0.10,Davie County Hospital,-0.058
0.00,(Closed) Copper Basin Medical Center,0.007
-0.10,"Pioneer Health Services of Patrick County,Inc",-0.052
0.00,Moses-Ludington Hospital,0.032
-0.10,Fairfield Memorial Hospital,-0.081
0.10,Little River Healthcare,0.111
-0.05,I-70 Community Hospital,-0.042
-0.15,Chillicothe Hospital District,-0.148
-0.25,Mayo Clinic Health System-Springfield,-0.203
-0.05,MercyOne Oakland Medical Center,-0.048
0.00,Doctors Hospital,0
0.20,Humboldt General Hospital Inc,0.243
-0.10,East Texas Medical Center - Gilmer,-0.072
0.00,Kilmichael Hospital,0.007
0.05,Merit Health Natchez-Community Campus,0.073
-0.20,Novant Health Franklin Medical Center,-0.152
-0.30,Marlboro Park Hospital,-0.277
-0.20,(Closed) Grandview Medical Center,-0.151
-0.15,Epic Medical Center,-0.128
-0.25,Tennova Healthcare-Mcnairy Regional,-0.217
-0.10,Gulf Coast Medical Center,-0.087
0.05,Nix Community General Hospital,0.057
-0.10,Sandhills Regional Medical Center,-0.062
0.05,TLC Network,0.089
-0.05,Care Regional Medical Center,-0.021
0.00,Twin Rivers Regional Medical Center,0.037
-0.05,Tri-Town Regional Healthcare,-0.01
-0.20,Sayre Community Hospital,-0.185
-0.25,McKenzie Regional Hospital,-0.25
0.00,Stamford Memorial Hospital,0.036
0.65,Little River Healthcare Cameron Hospital,0.652
0.05,Black River Community Medical Center,0.05
-0.15,Mercy Hospital El Reno,-0.108
0.05,Texas General Hospital- Vzrmc LP,0.095
-0.25,Sunbury Community Hospital,-0.221
-0.25,Perry Community Hospital,-0.21
-0.15,Cumberland River Hospital,-0.105
-0.25,Bluefield Regional Medical Center,-0.233
-0.20,Williamson Memorial Hospital,-0.187
-0.05,Platinum Health Systems Callaway,-0.008
-0.25,Patients Choice Medical Ctr of Smith County ( Vt ),-0.221
-0.15,Martin General Hospital,-0.108
-0.15,UPMC Lock Haven,-0.117
-0.15,Starr Regional Medical Center Etowah,-0.136
0.00,(Closed) Gibson General Hospital,0.025
-0.10,ETMC Clarksville,-0.063
0.05,East Texas Medical Center Mount Vernon,0.051
-0.35,East Texas Medical Center Trinity,-0.337
-0.10,Southeast Health Center of Ripley County,-0.07
0.10,Latimer County General Hospital,0.126
0.00,Ellwood City Medical Center,0.023
-0.15,Hamlin Memorial Hospital,-0.137
0.05,Decatur County General Hospital,0.096
-0.10,Central Hospital of Bowie LP,-0.056
0.00,St Marks Medical Center,0.017
-0.05,Parkland Health Center - Weber Road,-0.029
-0.10,"Laughlin Memorial Hospital, Inc",-0.094
-0.20,Sac-Osage Hospital,-0.17
-0.05,Nye Regional Medical Center,-0.01
-0.10,Memorial Hospital & Physician Group,-0.087
-0.05,Southern Palmetto Hospital,-0.006
-0.05,Mayo Clinic Health System Southeast Mn Region,-0.049
-0.15,Jamestown Regional Medical Center,-0.122
-0.15,Cooper County Community Hospital,-0.102
-0.15,Platinum Health Systems Audrain,-0.123
-0.05,Alliancehealth Clinton,-0.022
-0.10,Ascension Borgess Allegan Hospital,-0.058
0.00,McLaren Thumb Region,0.013
0.00,McLaren Caro Region,0.015
0.05,Sparrow Ionia Hospital,0.084
0.05,Corewell Health Pennock Hospital,0.092
0.05,OSF Saint Francis Hospital,0.094
0.10,Aspirus Ironwood Hospital,0.101
0.10,Marlette Regional Hospital,0.107
0.15,Corewell Health Gerber Hospital,0.176
0.20,Bronson Lakeview Hospital,0.213
0.35,Sparrow Eaton Hospital,0.393
-0.15,Lakewood Health Center,-0.11
-0.10,Gundersen St Elizabeth's Hospital and Clinics,-0.064
-0.10,Essentia Health Moose Lake,-0.052
-0.10,Madelia Health,-0.051
-0.05,Centracare Health System - Long Prairie,-0.05
-0.05,Lake Region Healthcare,-0.045
-0.05,North Valley Health Center,-0.042
-0.05,Mahnomen Health Center,-0.032
-0.05,Riverview Hospital,-0.02
-0.05,Mayo Clinic Health System - Lake City,-0.008
0.00,Essentia Health Holy Trinity Hospital,0.001
0.00,Mille LAC+s Health System,0.007
0.00,St Gabriels Hospital,0.01
0.00,Avera Granite Falls,0.013
0.00,Avera Marshall Regional Medical Ctr,0.019
0.00,Community Memorial Hospital,0.027
0.00,North Shore Health,0.029
0.00,"Carris Health - Redwood, LLC",0.029
0.00,Bigfork Valley Hospital,0.031
0.00,Cuyuna Regional Medical Center,0.033
0.00,River's Edge Hospital & Clinic,0.035
0.00,Kittson Memorial Hospital,0.045
0.05,Glencoe Regional Health Services,0.055
0.05,Perham Health,0.056
0.05,Lakewood Health System,0.057
0.05,Centracare Health System - Melrose Hospital,0.058
0.05,Welia Health,0.06
0.05,Riverwood Healthcare Center,0.061
0.05,Mayo Clinic Health System-New Prague,0.062
0.05,Centracare Health - Monticello,0.063
0.05,Glacial Ridge Hospital,0.064
0.05,Centracare - Benson,0.07
0.05,Essentia Health Fosston,0.07
0.05,Sanford Canby Medical Center,0.07
0.05,CCM Health,0.072
0.05,Mayo Clinic Health System - St James,0.08
0.05,Rainy Lake Medical Center,0.082
0.05,Mayo Clinic Health System-Waseca,0.088
0.05,United Hospital District,0.091
0.05,Essentia Health Sandstone,0.092
0.05,Deer River Healthcare Center,0.095
0.05,Johnson Memorial Hospital,0.097
0.05,New ULM Medical Center,0.099
0.10,Centra Care Health Paynesville,0.1
0.10,Ortonville Municipal Hospital,0.102
0.10,Astera Health,0.104
0.10,Stevens Community Medical Center,0.106
0.10,Mayo Clinic Health System-Cannon Falls,0.107
0.10,Hendricks Community Hospital,0.108
0.10,Ely Bloomenson Community Hospital,0.112
0.10,Pipestone County  Medical Center,0.115
0.10,Avera Tyler Hospital,0.116
0.10,Appleton Area Health,0.117
0.10,Sanford Tracy Medical Center,0.118
0.10,Sanford Westbrook Hospital,0.122
0.10,Murray County Memorial Hospital,0.122
0.10,Meeker Memorial Hospital,0.127
0.10,Cook Hospital,0.128
0.10,Lifecare Medical Center,0.132
0.10,Lake View Memorial Hospital,0.139
0.10,Centracare Health System - Sauk Centre,0.139
0.10,Essentia Health Ada,0.141
0.10,Madison Hospital,0.145
0.10,Essentia Health Northern Pines Medical Center,0.146
0.15,Windom Area Health,0.154
0.15,Sleepy Eye Medical Center,0.157
0.15,Sanford Bagley Medical Center,0.16
0.15,St Josephs Area  Health Services,0.16
0.15,Sanford Medical Center Wheaton,0.163
0.15,Olivia Hospital & Clinic,0.167
0.15,Sanford Luverne Medical Center,0.195
0.20,Ridgeview Sibley Medical Center,0.2
0.20,St Francis Medical Center,0.202
0.20,Sanford Medical Center Thief River Falls,0.214
0.25,Sanford Jackson Medical Center,0.255
-0.10,Scotland County  Hospital,-0.085
-0.10,Lafayette Regional Health Center,-0.064
-0.05,Ray County Memorial Hospital,-0.042
-0.05,Community Hospital Association,-0.033
-0.05,Salem Memorial District Hospital,-0.01
-0.05,Parkland Health Center - Bonne Terre,-0.003
0.00,Pershing Memorial Hospital,0.008
0.00,Cedar County Memorial Hospital,0.012
0.00,Mosaic Medical Center Albany,0.013
0.00,Missouri Baptist Sullivan Hospital,0.022
0.00,Perry County Memorial Hospital,0.026
0.00,Hermann Area District Hospital,0.03
0.00,Pike County Memorial Hospital,0.036
0.00,Iron County Medical Center,0.04
0.00,Carroll County Memorial Hospital,0.042
0.05,Excelsior Springs Hospital,0.057
0.05,Macon County Samaritan Memorial Hospital,0.059
0.05,Wright Memorial Hospital,0.06
0.05,Cox Barton County Hospital,0.063
0.05,Putnam County Memorial Hospital,0.069
0.05,Ste Genevieve County Memorial Hospital,0.07
0.05,Mercy Hospital Carthage,0.071
0.05,Mercy St Francis Hospital,0.073
0.05,Ellett Memorial Hospital,0.074
0.05,Washington County Memorial Hospital,0.078
0.05,Hedrick Medical Center,0.091
0.05,Sullivan County Memorial Hospital,0.098
0.05,Mercy Hospital Cassville,0.098
0.10,Cass Regional Medical Center,0.132
0.10,Harrison County Community Hospital,0.134
0.10,Madison Medical Center,0.146
0.10,Cox Monett Hospital,0.15
0.15,Freeman Neosho Hospital,0.161
0.15,Mercy Hospital Lincoln,0.173
0.15,Mercy Hospital Aurora,0.182
-0.10,Baptist Medical Center-Yazoo,-0.057
-0.10,Holmes County Hospital and Clinics,-0.055
-0.10,Baptist Medical Center-Attala,-0.055
-0.05,BMH-Calhoun,-0.036
-0.05,Monroe Regional Hospital,-0.034
-0.05,Sharkey Issaquena Community Hospital,-0.031
-0.05,Pearl River County Hospital,-0.03
-0.05,Tippah County Hospital,-0.017
-0.05,Ochsner Stennis Memorial Hospital,-0.014
-0.05,Ochsner Watkins Hospital,-0.003
0.00,Lawrence County Hospital CAH,0.003
0.00,North Sunflower Medical Center CAH,0.003
0.00,Field Health System,0.005
0.00,Franklin County Memorial Hospital,0.012
0.00,Claiborne County Hospital,0.021
0.00,Ochsner Laird Hospital,0.027
0.00,Copiah County Medical Center,0.029
0.00,Tallahatchie General Hospital-CAH,0.035
0.00,Simpson General Hospital CAH,0.036
0.00,S E LAC+key Memorial Hospital,0.044
0.00,Quitman Community Hospital,0.046
0.00,Covington County Hospital CAH,0.047
0.05,Ochsner Scott Regional,0.055
0.05,Baptist Medical Center-Leake,0.065
0.05,Greene County Hospital CAH,0.066
0.05,Choctaw Regional Medical Center,0.07
0.05,Tyler Holmes Memorial Hospital CAH,0.073
0.05,Walthall County General Hospital CAH,0.076
0.05,Jefferson Davis Community Hospital CAH,0.078
0.05,Pontotoc Health Service CAH,0.098
0.05,Perry County General Hospital,0.098
0.05,Noxubee General Critical Access Hosp,0.099
-0.20,Dahl Memorial Healthcare Association Inc,-0.199
-0.20,Big Sky Medical Center,-0.167
-0.10,Big Sandy Medical Center,-0.058
-0.10,Providence St Joseph Medical Center,-0.056
-0.10,Phillips County Medical Center,-0.053
-0.05,Big Horn Hospital,-0.021
-0.05,Northern Rockies Medical Center,-0.02
-0.05,Mountainview Medical Center,-0.015
-0.05,Marias Medical Center,-0.003
0.00,Madison Valley Medical Center,0.005
0.00,Pondera Medical Center,0.005
0.00,Roosevelt Medical Center,0.008
0.00,Ruby Valley Medical Center,0.01
0.00,Sheridan Memorial Hosptial,0.016
0.00,Logan Health - Chester,0.023
0.00,Fallon Medical Complex Hospital,0.023
0.00,Benefis Teton Medical Center,0.037
0.00,Granite County Medical Center,0.039
0.00,Rosebud Health Care Center,0.048
0.05,Frances Mahon Deaconess Hospital,0.055
0.05,Garfield County Health Center,0.058
0.05,Central Montana Medical Center,0.065
0.05,Sidney Health Center,0.07
0.05,Beartooth Billings Clinic,0.074
0.05,Billings Clinic Broadwater,0.077
0.05,Barrett Hospital & Healthcare,0.078
0.05,Glendive Medical Center,0.079
0.05,Community Hospital of Anaconda,0.083
0.05,Bitterroot Health - Daly Hospital,0.091
0.05,Livingston Healthcare,0.098
0.05,Cabinet Peaks Medical Center,0.099
0.10,Pioneer Medical Center,0.102
0.10,Clark Fork Valley Hospital,0.103
0.10,St Luke Community Hospital,0.106
0.10,Stillwater Billings Clinic,0.109
0.10,Daniels Memorial Hospital,0.125
0.10,McCone County Health Center,0.137
0.10,Wheatland Memorial Hospital,0.138
0.10,Trinity Hospital,0.138
0.10,Prairie Community Hospital,0.143
0.10,Holy Rosary Healthcare,0.144
0.10,Poplar Community Hospital,0.144
0.15,Logan Health - Whitefish,0.172
0.20,Roundup Memorial Healthcare,0.227
0.20,Deer Lodge Medical Center,0.236
0.25,Missouri River Medical Center,0.273
0.25,Mineral Community Hospital,0.283
-0.20,Washington County Hosp Inc,-0.166
-0.10,Chatham Hospital Inc,-0.079
-0.10,Highlands Cashiers Hospital,-0.063
-0.10,Blue Ridge Regional Hospital,-0.061
-0.05,Angel Medical Center,-0.049
-0.05,Swain County Hospital,-0.021
-0.05,Erlanger Murphy Medical Center,-0.019
0.00,Charles A Cannon Jr Memorial Hospital,0.002
0.00,Vidant Bertie  Hospital,0.012
0.00,"Transylvania Regional Hospital, Inc",0.023
0.00,Ashe Memorial Hospital,0.036
0.05,St Lukes Hospital,0.065
0.05,FirstHealth Montgomery Memorial Hosp,0.071
0.05,Alleghany  Memorial Hospital,0.081
0.05,Pender Memorial Hospital,0.085
0.05,Cape Fear Valley-Bladen County Hospital,0.099
0.10,Lifebrite Community Hospital of Stokes,0.101
0.10,J Arthur Dosher Memorial Hospital,0.129
0.15,Vidant Chowan Hospital,0.176
0.35,"The Outer Banks Hospital, Inc",0.39
-0.20,McKenzie County Healthcare Systems Inc,-0.153
-0.15,St Luke's Hospital,-0.111
-0.05,CHI Oakes Hospital,-0.045
-0.05,Southwest Healthcare Services,-0.031
-0.05,CHI St Alexius Health Dickinson,-0.022
0.00,CHI Lisbon Health,0.011
0.00,Jacobson Memorial Hospital Care Center,0.022
0.00,Sanford Medical Center Hillsboro,0.022
0.00,CHI St Alexius Health Williston,0.027
0.00,South Central Health,0.029
0.00,Presentation Medical Center,0.035
0.00,West River Regional Medical Center,0.036
0.00,Tioga Medical Center,0.044
0.05,Garrison Memorial Hospital,0.053
0.05,Linton Hospital - CAH,0.062
0.05,Jamestown Regional Medical Center,0.067
0.05,St Andrews Health Center - CAH,0.078
0.05,Heart of America Medical Center,0.08
0.05,Sakakawea Medical Center - CAH,0.082
0.05,SMP Health St Aloisius,0.088
0.05,Ashley Medical Center,0.094
0.10,Nelson County Health System,0.103
0.10,Unity Medical Center,0.108
0.10,Sanford Medical Center Mayville,0.114
0.10,Pembina County Memorial Hospital,0.132
0.10,Kenmare Community Hospital,0.146
0.15,Northwood Deaconess Health Center,0.158
0.15,CHI St Alexius Health Turtle Lake,0.17
0.15,Carrington Health Center,0.176
0.15,Towner County Medical Center,0.176
0.20,Mountrail County Medical Center Inc,0.201
0.20,First Care Health Center,0.201
0.20,Cavalier County Memorial Hospital Association,0.209
0.20,CHI Mercy Health,0.221
0.35,Cooperstown Medical Center,0.382
0.50,CHI St Alexius Health Devils Lake,0.545
-0.10,Ogallala Community Hospital,-0.074
-0.10,Regional West Garden County Hospital,-0.067
-0.05,Webster County Community Hospital,-0.021
-0.05,Tri Valley Health System,-0.021
-0.05,Gothenburg Health,-0.002
0.00,Sidney Regional Medical Center,0
0.00,Avera Creighton Hospital,0.004
0.00,Syracuse Area Health,0.015
0.00,Genoa Community Hospital,0.02
0.00,Harlan County Health System,0.02
0.00,Perkins County Health Services,0.024
0.00,"Beatrice Community Hospital & Health Center, Inc",0.028
